date,title,warmup_time,warmup,main_time,main,cooldown_time,cooldown,objective_general,objective_specific,observations
2026-01-15,"Rede Esperanca | 15:30-16:30 | 08-11 (Masculino) | Semana 02 - Manchete + continuidade","10 min","Circuito cones + quique","45 min","Manchete adaptada | Manchete + deslocamento | Toque para alvo | Desafio 5 toques | Mini Volei 1x1 (2 quiques)","5 min","Roda de conversa","Reforcar manchete adaptada e aumentar continuidade do jogo com regras adaptadas.","Manchete com deslocamento | Toque direcionado | Aplicar em 1x1 com 2 quiques antes de devolver.",""

2026-01-20,"Rede Esperanca | 14:00-15:00 | 08-11 (Feminino) | Semana 03 - Saque por baixo","10 min","Rouba bola","45 min","Mira em alvo | Saque por baixo (curto) | Saque por baixo (progressao) | Manchete adaptada | Jogo com saque","5 min","Roda de conversa","Introduzir saque por baixo de forma progressiva e aplicar em jogo simples.","Saque curto e progressivo | Recepcao adaptada | Iniciar pontos com saque por baixo.",""
2026-01-20,"Rede Esperanca | 15:30-16:30 | 08-11 (Masculino) | Semana 03 - Saque por baixo","10 min","Rouba bola","45 min","Mira em alvo | Saque por baixo (curto) | Saque por baixo (progressao) | Manchete adaptada | Jogo com saque","5 min","Roda de conversa","Introduzir saque por baixo de forma progressiva e aplicar em jogo simples.","Saque curto e progressivo | Recepcao adaptada | Iniciar pontos com saque por baixo.",""

2026-01-22,"Rede Esperanca | 14:00-15:00 | 08-11 (Feminino) | Semana 03 - Saque + rally curto","10 min","Circuito slalom","45 min","Saque para zonas | Desafio 3 saques | Manchete para alvo | Toque para alvo | Mini Volei 1x1 (com saque) | Mini Volei 2x2 (se possivel)","5 min","Roda de conversa","Consolidar saque e aplicar em jogo reduzido iniciando com saque.","Saque direcionado | Recepcao simples | Jogo 1x1 com saque e 2x2 se houver participantes.",""
2026-01-22,"Rede Esperanca | 15:30-16:30 | 08-11 (Masculino) | Semana 03 - Saque + rally curto","10 min","Circuito slalom","45 min","Saque para zonas | Desafio 3 saques | Manchete para alvo | Toque para alvo | Mini Volei 1x1 (com saque) | Mini Volei 2x2 (se possivel)","5 min","Roda de conversa","Consolidar saque e aplicar em jogo reduzido iniciando com saque.","Saque direcionado | Recepcao simples | Jogo 1x1 com saque e 2x2 se houver participantes.",""

2026-01-27,"Rede Esperanca | 14:00-15:00 | 08-11 (Feminino) | Semana 04 - Integracao","10 min","Pega-pega com regra","45 min","Quique com comandos | Toque para alvo | Manchete para alvo | Saque para zonas | Mini jogo 3 contatos | Mini Volei 1x1","5 min","Roda de conversa","Integrar controle de bola, toque, manchete e saque em atividades e jogo reduzido.","Aplicar fundamentos em sequencia simples | Manter jogo 1x1 com regras adaptadas.",""
2026-01-27,"Rede Esperanca | 15:30-16:30 | 08-11 (Masculino) | Semana 04 - Integracao","10 min","Pega-pega com regra","45 min","Quique com comandos | Toque para alvo | Manchete para alvo | Saque para zonas | Mini jogo 3 contatos | Mini Volei 1x1","5 min","Roda de conversa","Integrar controle de bola, toque, manchete e saque em atividades e jogo reduzido.","Aplicar fundamentos em sequencia simples | Manter jogo 1x1 com regras adaptadas.",""

2026-01-29,"Rede Esperanca | 14:00-15:00 | 08-11 (Feminino) | Semana 04 - Reavaliacao","10 min","Introducao + pega-pega","45 min","Passar por baixo ao quicar | Partes do corpo ao quicar | Tapas controlados | Lancar + palmas | Toque (explicacao + pratica) | Mini Volei 1x1","5 min","Roda de conversa + autoavaliacao","Reavaliar a turma repetindo a sequencia diagnostica e comparando evolucao.","Repetir tarefas da Semana 01 para comparar | Jogo 1x1 para observar evolucao.",""
2026-01-29,"Rede Esperanca | 15:30-16:30 | 08-11 (Masculino) | Semana 04 - Reavaliacao","10 min","Introducao + pega-pega","45 min","Passar por baixo ao quicar | Partes do corpo ao quicar | Tapas controlados | Lancar + palmas | Toque (explicacao + pratica) | Mini Volei 1x1","5 min","Roda de conversa + autoavaliacao","Reavaliar a turma repetindo a sequencia diagnostica e comparando evolucao.","Repetir tarefas da Semana 01 para comparar | Jogo 1x1 para observar evolucao.",""
